n_run dissimilarity
1 0.153846
2 0.230769
3 0.230769
4 0.153846
5 0.230769
6 0.230769
7 0.230769
8 0.230769
9 0.230769
10 0.230769
11 0.230769
12 0.0769231
13 0.230769
14 0.153846
15 0.153846
16 0.230769
17 0.230769
18 0.0769231
19 0.230769
20 0.230769
21 0.153846
22 0.230769
23 0.153846
24 0.153846
25 0.153846
26 0.230769
27 0.230769
28 0.153846
29 0.0769231
30 0.230769
31 0.230769
32 0.230769
33 0.153846
34 0.230769
35 0.230769
36 0.230769
37 0.230769
38 0.230769
39 0.230769
40 0.153846
41 0.230769
42 0.230769
43 0.230769
44 0.230769
45 0.230769
46 0.230769
47 0.384615
48 0.153846
49 0.230769
50 0.153846
51 0.230769
52 0.230769
53 0.230769
54 0.153846
55 0.230769
56 0.230769
57 0.230769
58 0.153846
59 0.230769
60 0.153846
61 0.230769
62 0.461538
63 0.384615
64 0.153846
65 0.153846
66 0.230769
67 0.0769231
68 0.230769
69 0.230769
70 0.230769
71 0.230769
72 0.230769
73 0.461538
74 0.230769
75 0.230769
76 0.230769
77 0.230769
78 0.153846
79 0.230769
80 0.230769
81 0.230769
82 0.230769
83 0.230769
84 0.0769231
85 0.230769
86 0.153846
87 0.230769
88 0.153846
89 0.230769
90 0.230769
91 0.153846
92 0.153846
93 0.230769
94 0.153846
95 0.153846
96 0.230769
97 0.153846
98 0.153846
99 0.153846
100 0.153846
