n_run dissimilarity
1 0.444444
2 0.529412
3 0.55
4 0.473684
5 0.5
6 0.529412
7 0.5
8 0.529412
9 0.529412
10 0.529412
11 0.529412
12 0.5
13 0.529412
14 0.421053
15 0.5
16 0.473684
17 0.5
18 0.529412
19 0.529412
20 0.6
21 0.411765
22 0.529412
23 0.473684
24 0.555556
25 0.555556
26 0.555556
27 0.473684
28 0.529412
29 0.578947
30 0.555556
31 0.529412
32 0.444444
33 0.555556
34 0.529412
35 0.555556
36 0.444444
37 0.444444
38 0.529412
39 0.529412
40 0.473684
41 0.555556
42 0.6
43 0.555556
44 0.555556
45 0.5
46 0.466667
47 0.444444
48 0.529412
49 0.555556
50 0.578947
51 0.444444
52 0.55
53 0.555556
54 0.555556
55 0.578947
56 0.555556
57 0.555556
58 0.555556
59 0.473684
60 0.529412
61 0.578947
62 0.578947
63 0.5
64 0.555556
65 0.388889
66 0.375
67 0.555556
68 0.578947
69 0.555556
70 0.5
71 0.5
72 0.466667
73 0.444444
74 0.473684
75 0.444444
76 0.52381
77 0.473684
78 0.555556
79 0.555556
80 0.5
81 0.5
82 0.529412
83 0.529412
84 0.55
85 0.578947
86 0.473684
87 0.555556
88 0.529412
89 0.578947
90 0.555556
91 0.473684
92 0.5
93 0.6
94 0.466667
95 0.473684
96 0.473684
97 0.5
98 0.529412
99 0.526316
100 0.5
