n_run dissimilarity
1 0.333333
2 0.576923
3 0.493333
4 0.269231
5 0.151515
6 0.298246
7 0.554054
8 0.388889
9 0.346939
10 0.227273
11 0.153846
12 0.138889
13 0.458333
14 0.493333
15 0.473684
16 0.306122
17 0.384615
18 0.613445
19 0.127273
20 0.137931
21 0.181818
22 0.210526
23 0.466102
24 0.533333
25 0.38
26 0.272727
27 0.555556
28 0.321429
29 0.4625
30 0.2
31 0.212121
32 0.193548
33 0.323529
34 0.358974
35 0.544304
36 0.0952381
37 0.0833333
38 0.432432
39 0.1875
40 0.04
41 0.833333
42 0.55102
43 0.269231
44 0.292308
45 0.323529
46 0.727273
47 0.3
48 0.4375
49 0.266667
50 0.230769
51 0.42
52 0.1
53 0.461538
54 0.282051
55 0.283582
56 0.142857
57 0.423913
58 0.55
59 0.2
60 0.47619
61 0.565217
62 0.265306
63 0.192308
64 0.598291
65 0.338983
66 0.38
67 0.7
68 0.2
69 0.554348
70 0.238095
71 0.15
72 0.470588
73 0.272727
74 0.4
75 0.2
76 0.469388
77 0.617647
78 0.252747
79 0.447761
80 0.333333
81 0.516484
82 0.177778
83 0.546667
84 0.25
85 0.518072
86 0.565217
87 0.121212
88 0.15
89 0.544304
90 0.3
91 0.705882
92 0.24
93 0.653333
94 0.571429
95 0.538462
96 0.25
97 0.418182
98 0.46
99 0.445946
100 0.333333
