n_run dissimilarity
1 0.8125
2 0.916071
3 0.898925
4 0.884319
5 0.840764
6 0.894515
7 0.835735
8 0.909621
9 0.911523
10 0.882556
11 0.833333
12 0.906511
13 0.836237
14 0.812977
15 0.877778
16 0.873684
17 0.893365
18 0.877953
19 0.935025
20 0.865132
21 0.886364
22 0.869969
23 0.863426
24 0.904661
25 0.897638
26 0.937873
27 0.825843
28 0.860465
29 0.844237
30 0.898925
31 0.88806
32 0.870968
33 0.756098
34 0.882192
35 0.87234
36 0.876106
37 0.845638
38 0.89225
39 0.876344
40 0.848739
41 0.881453
42 0.84965
43 0.884
44 0.880819
45 0.846906
46 0.882609
47 0.869565
48 0.901135
49 0.902527
50 0.881068
51 0.908397
52 0.862434
53 0.873563
54 0.900222
55 0.878641
56 0.860841
57 0.866477
58 0.886831
59 0.882206
60 0.928571
61 0.909253
62 0.908669
63 0.875969
64 0.859903
65 0.879121
66 0.854369
67 0.922929
68 0.882759
69 0.833333
70 0.880342
71 0.819113
72 0.921569
73 0.835329
74 0.878261
75 0.815864
76 0.906615
77 0.872063
78 0.831579
79 0.917313
80 0.910359
81 0.856021
82 0.907407
83 0.865707
84 0.844394
85 0.895782
86 0.892157
87 0.863402
88 0.877193
89 0.895146
90 0.877384
91 0.877637
92 0.814035
93 0.834711
94 0.882609
95 0.892523
96 0.871166
97 0.930693
98 0.881466
99 0.829653
100 0.935445
