n_run dissimilarity
1 0.950311
2 0.930233
3 0.891892
4 0.973783
5 0.903614
6 0.954023
7 0.942857
8 0.868852
9 0.926829
10 0.948052
11 0.947368
12 0.968504
13 0.989446
14 0.954082
15 0.932773
16 0.94702
17 0.927928
18 0.936508
19 0.88
20 0.931624
21 0.890244
22 0.942149
23 0.909091
24 0.881579
25 0.958763
26 0.912088
27 0.894118
28 0.8875
29 0.904762
30 0.912621
31 0.927273
32 0.903614
33 0.92029
34 0.952756
35 0.946429
36 0.898734
37 0.906667
38 0.938144
39 0.908046
40 0.893204
41 0.888889
42 0.952128
43 0.891566
44 0.907216
45 0.956522
46 0.888889
47 0.931034
48 0.917526
49 0.880597
50 0.968504
51 0.958333
52 0.9375
53 0.959391
54 0.955056
55 0.867647
56 0.949045
57 0.941176
58 0.944828
59 0.878788
60 0.956989
61 0.915789
62 0.930233
63 0.896104
64 0.902174
65 0.92437
66 0.84375
67 0.884211
68 0.915789
69 0.906977
70 0.936709
71 0.92381
72 0.931034
73 0.911111
74 0.942529
75 0.925926
76 0.870968
77 0.935484
78 0.912088
79 0.921739
80 0.90411
81 0.965625
82 0.880597
83 0.969811
84 0.926606
85 0.941176
86 0.942029
87 0.963801
88 0.946667
89 0.894737
90 0.857143
91 0.970037
92 0.94
93 0.91954
94 0.937008
95 0.929688
96 0.943089
97 0.868852
98 0.930435
99 0.976684
100 0.913043
