n_run dissimilarity
1 0.833333
2 0.619048
3 1
4 0.904762
5 0.857143
6 0.909091
7 1
8 1
9 0.777778
10 0.846154
11 0.875
12 0.875
13 1
14 1
15 0.952381
16 0.714286
17 1
18 0.875
19 0.833333
20 1
21 0.870968
22 0.866667
23 1
24 0.923077
25 0.846154
26 1
27 1
28 0.777778
29 0.846154
30 1
31 1
32 0.809524
33 0.866667
34 0.782609
35 0.9
36 1
37 1
38 1
39 0.888889
40 0.736842
41 0.96
42 1
43 0.882353
44 1
45 1
46 0.897436
47 0.766667
48 0.818182
49 0.826087
50 1
51 0.894737
52 0.916667
53 1
54 0.9
55 0.571429
56 0.833333
57 1
58 1
59 1
60 0.882353
61 0.941176
62 0.851852
63 0.555556
64 1
65 0.72
66 0.818182
67 1
68 0.944444
69 0.818182
70 1
71 0.846154
72 0.75
73 1
74 1
75 0.807692
76 0.833333
77 1
78 0.95122
79 0.875
80 1
81 1
82 0.823529
83 0.857143
84 1
85 0.965517
86 0.962264
87 0.782609
88 0.875
89 0.84
90 1
91 0.935484
92 0.857143
93 1
94 0.913043
95 0.866667
96 0.928571
97 0.846154
98 1
99 0.791667
100 0.789474
