n_run n_bicliques max_size avg_size
1 3 90 73
2 14 67 41.5714
3 63 103 42.9365
4 14 90 42.0714
5 21 103 60.381
6 45 103 51.2667
7 62 103 42.5484
8 42 103 50.5238
9 37 103 47.8378
10 32 103 56.5
11 14 103 64.3571
12 24 103 58.75
13 12 90 43.3333
14 63 103 42.8095
15 26 90 41.5385
16 37 103 47.8378
17 14 90 45.3571
18 107 103 42.0374
19 43 103 53.0465
20 17 103 61.7647
21 32 103 56.5
22 7 90 62.2857
23 106 103 42.0755
24 63 103 42.254
25 38 103 49.0526
26 43 103 53.0465
27 69 103 42.3478
28 16 103 53.875
29 68 103 43.2941
30 28 103 56.8214
31 21 103 54.5714
32 19 103 57.9474
33 22 90 51
34 27 103 55.7037
35 67 103 41.1642
36 30 103 55.3667
37 24 103 58.5833
38 25 74 39.52
39 4 74 47.75
40 13 103 64.3077
41 12 55 38.4167
42 37 90 39.9189
43 14 90 56.6429
44 53 103 47.4528
45 22 103 55.3182
46 10 51 35.1
47 8 90 54.625
48 4 74 44
49 18 90 47.3333
50 53 103 47.4528
51 38 103 46.2368
52 8 103 71.625
53 27 103 50.7407
54 27 103 50.7407
55 55 103 46.6545
56 9 90 59.3333
57 80 103 42.5375
58 8 74 45.375
59 13 103 65.4615
60 9 74 42.2222
61 80 103 42.875
62 37 103 47.8378
63 14 103 59.1429
64 105 103 42.5048
65 47 90 44.9362
66 38 103 53.9737
67 158 103 33.5253
68 13 103 62.4615
69 80 103 42.575
70 9 103 72.2222
71 8 103 76.875
72 39 103 46.4359
73 32 103 57.7188
74 43 103 46.1395
75 43 103 53.6744
76 37 103 45.9459
77 56 103 41.5
78 79 103 45.2025
79 55 103 47.2909
80 27 103 55.7037
81 79 103 42.9367
82 33 103 55.5152
83 63 103 42.9365
84 28 103 55.6786
85 71 103 40.493
86 11 74 39.0909
87 21 103 60.381
88 28 103 57.25
89 67 103 42.7612
90 18 90 46.4444
91 73 103 35.9726
92 38 103 53.9737
93 63 103 34.6667
94 30 90 40.7
95 14 74 40.9286
96 32 103 57.7188
97 43 103 47.186
98 38 103 46.2368
99 62 103 42.5484
100 3 74 55.6667
