n_run n_bicliques max_size avg_size
1 299 332 19.1773
2 539 332 15.9221
3 444 332 18.6329
4 368 332 17.9647
5 293 332 24.3038
6 453 332 18.777
7 326 332 18.1933
8 665 332 18.9759
9 465 332 16.5484
10 558 332 19.7581
11 315 332 20.4286
12 578 332 17.1349
13 266 332 20.4436
14 241 332 19.8838
15 429 332 19.3054
16 359 332 18.6741
17 401 332 16.5411
18 487 332 18.5914
19 964 332 18.7095
20 283 332 17.9152
21 419 332 17.5847
22 302 332 17.8576
23 411 332 18.5572
24 451 332 18.0643
25 487 332 18.3778
26 816 332 17.7672
27 335 332 21.4478
28 323 332 17.8762
29 300 332 18.91
30 444 332 17.1374
31 381 332 19.9081
32 382 332 20.5942
33 184 332 25.2391
34 344 332 17.8953
35 402 332 18.908
36 318 332 16.7987
37 277 332 18.9025
38 508 332 18.5512
39 351 332 17.886
40 336 332 19.3482
41 502 332 18.2629
42 265 332 17.4679
43 479 332 18.7035
44 516 332 18.5078
45 286 332 18.8916
46 439 332 17.8064
47 462 332 19.6017
48 596 332 17.8456
49 533 332 18.4109
50 391 332 21.468
51 503 332 18.0278
52 357 332 20.7871
53 414 332 19.3188
54 430 332 19.1093
55 391 332 24.6522
56 288 332 17.6701
57 331 332 19.4653
58 465 332 19.6774
59 378 332 17.5608
60 637 332 17.9827
61 541 332 18.244
62 625 332 18.8112
63 366 332 19.5546
64 393 332 21.7786
65 525 332 17.0076
66 288 332 18.1007
67 498 332 14.8695
68 414 332 18.343
69 279 332 19.9068
70 447 332 20.1588
71 272 332 22.8309
72 642 332 16.6386
73 313 180 18.3514
74 439 332 20.0615
75 332 332 19.6867
76 493 332 16.6775
77 362 332 19.2818
78 264 332 18.9242
79 753 332 18.2005
80 481 332 19.1684
81 361 332 19
82 627 332 19.0144
83 396 332 18.3207
84 416 332 20.5072
85 382 332 15.7173
86 591 332 17.687
87 367 332 18.7629
88 378 332 17.1138
89 494 332 19.0789
90 346 332 16.4653
91 453 332 20.83
92 264 332 21.5871
93 221 332 18.5837
94 439 332 16.2984
95 407 332 17.4275
96 468 332 19.2799
97 787 332 17.3139
98 443 332 22.237
99 296 332 21.5
100 800 332 18.6363
