n_run n_bicliques max_size avg_size
1 59 13 8.71186
2 249 21 9.40964
3 148 13 8.86486
4 73 24 8.80822
5 167 24 9.47305
6 146 24 8.97945
7 50 13 8.74
8 52 13 8.59615
9 59 13 8.74576
10 40 12 8.55
11 49 12 8.61224
12 339 17 9.20649
13 60 35 9.35
14 74 12 8.52703
15 21 13 8.85714
16 161 13 8.67081
17 64 12 8.6875
18 44 24 9.04545
19 147 24 9.10204
20 212 29 9.66509
21 148 24 9.18919
22 327 14 9.42508
23 121 24 9.02479
24 88 24 9.13636
25 123 10 8.47154
26 1106 24 10.4512
27 311 21 9.6045
28 106 24 8.80189
29 20 12 8.8
30 249 13 9.45783
31 79 249 12
32 198 12 9.0101
33 78 25 8.96154
34 235 25 9.2383
35 67 24 9.10448
36 145 13 8.86207
37 250 14 9.692
38 75 10 8.44
39 25 13 8.72
40 108 13 8.64815
41 77 24 8.96104
42 63 123 10.746
43 129 24 8.89922
44 185 14 9.41081
45 53 10 8.39623
46 408 24 9.1152
47 25 10 8.44
48 469 15 9.1322
49 313 14 9.11502
50 55 13 8.67273
51 220 13 8.97273
52 129 24 9.21705
53 118 12 8.82203
54 227 249 9.99559
55 104 12 8.75962
56 365 21 9.09589
57 32 24 9.375
58 823 15 9.96233
59 88 13 8.875
60 32 10 8.625
61 315 24 9.43492
62 190 13 9
63 107 12 8.7757
64 59 10 8.45763
65 32 10 8.4375
66 168 24 9.21429
67 277 24 9.09025
68 222 21 9.3018
69 367 21 9.32153
70 65 249 12.0769
71 61 24 8.93443
72 61 12 8.45902
73 86 13 8.75581
74 309 19 9.35922
75 55 13 8.72727
76 147 24 8.90476
77 94 24 8.80851
78 91 13 8.75824
79 33 10 8.66667
80 71 12 8.80282
81 81 10 8.51852
82 407 29 9.59951
83 155 13 9.05161
84 123 24 9.14634
85 66 10 8.54545
86 49 24 9.2449
87 108 19 8.9537
88 449 25 9.42539
89 116 24 9.06897
90 218 14 9.36239
91 39 12 8.61538
92 22 12 8.59091
93 40 24 9.025
94 104 13 8.74038
95 41 13 8.56098
96 42 10 8.2619
97 116 13 8.83621
98 276 15 8.82246
99 47 24 8.97872
100 267 24 9.48689
