n_run n_bicliques max_size avg_size
1 156 43 7.59615
2 81 14 7.12346
3 69 167 9.26087
4 262 35 7.54198
5 78 9 6.67949
6 169 35 7.39645
7 135 14 7.14815
8 56 11 6.66071
9 77 14 6.94805
10 149 123 8.28859
11 109 14 7.07339
12 249 35 7.77108
13 374 35 8.33957
14 191 14 7.20942
15 114 15 7.34211
16 146 201 8.59589
17 106 14 7.0566
18 121 167 8.3719
19 70 14 6.75714
20 112 11 7.24107
21 77 167 9.12987
22 116 201 9.01724
23 94 201 9.39362
24 71 14 7.02817
25 189 35 7.60847
26 86 167 9.19767
27 80 14 6.9125
28 75 11 7.08
29 79 201 9.40506
30 98 201 9
31 105 167 8.53333
32 78 43 7.4359
33 133 41 7.33083
34 122 167 8.27049
35 107 14 7.18692
36 74 14 6.91892
37 70 10 7.08571
38 92 201 10.8804
39 82 35 7.18293
40 98 201 9.02041
41 49 10 6.73469
42 183 15 7.75956
43 78 167 9
44 92 14 6.95652
45 133 19 7.28571
46 67 167 9.1194
47 82 14 7.14634
48 92 167 8.70652
49 62 9 6.80645
50 249 43 7.93976
51 139 15 7.05036
52 123 201 8.80488
53 192 167 9.40625
54 173 27 7.97688
55 63 14 6.8254
56 152 14 7.13816
57 114 14 6.92982
58 140 201 10.05
59 61 167 9.47541
60 181 14 7.06077
61 90 14 7.26667
62 81 201 11.2346
63 72 201 9.31944
64 87 35 7.3908
65 114 201 9.94737
66 59 17 7.25424
67 90 14 7.08889
68 90 14 7.02222
69 81 14 7.04938
70 153 201 8.20261
71 100 14 7.07
72 82 14 6.80488
73 85 201 9.52941
74 169 41 7.36095
75 103 14 6.99029
76 57 14 6.96491
77 119 15 7.2437
78 86 14 6.94186
79 110 14 7.02727
80 68 167 9.89706
81 315 55 8.06349
82 62 167 9.64516
83 260 35 8.82692
84 104 201 10.7885
85 131 167 8.32061
86 133 167 8.32331
87 216 201 8
88 145 15 7.11034
89 71 10 6.92958
90 65 14 6.98462
91 262 20 7.54198
92 145 201 8.54483
93 82 201 9.43902
94 122 53 7.40984
95 123 53 7.22764
96 118 15 7.22034
97 56 14 6.78571
98 110 167 8.66364
99 381 43 8.3937
100 87 201 9.28736
