n_run n_bicliques max_size avg_size
1 8 1482 357.625
2 17 7528 1095.53
3 15 1482 105.467
4 17 1482 148.588
5 10 1482 212.1
6 40 6550 239.575
7 15 1482 105.067
8 34 1482 51.9118
9 14 1482 310.786
10 9 7528 950.222
11 12 6550 697.25
12 12 583 55.1667
13 21 16 7.61905
14 17 9 6.41176
15 38 1482 62.3421
16 10 583 146.2
17 15 7528 508.533
18 12 1482 177.5
19 8 583 79.125
20 23 7528 445.435
21 27 4975 408.37
22 11 583 92
23 11 4975 459
24 22 1088 69.5909
25 9 583 71.2222
26 41 1482 43.3902
27 22 402 25.2727
28 14 1482 311.143
29 9 1482 234.778
30 10 9 7
31 16 1482 98.9375
32 17 1482 143
33 11 583 95.2727
34 19 6550 424.684
35 16 91 11.9375
36 15 9 6.73333
37 7 7528 1081.29
38 9 9 6.55556
39 32 6550 350.156
40 15 7528 725.733
41 46 583 20.3261
42 13 1482 150.692
43 13 6550 631.154
44 16 9 6.625
45 11 9 6.90909
46 35 1088 68.2
47 26 7528 542.423
48 18 6550 629.167
49 19 1088 107.263
50 5 402 86
51 15 1482 143.467
52 20 1482 109.7
53 17 1088 93.6471
54 16 1088 143.625
55 10 7528 1193.1
56 8 4975 699.625
57 7 9 6.42857
58 14 402 35
59 31 1482 73.1935
60 30 6550 299.567
61 30 583 26.5
62 23 1482 253.391
63 14 7528 906.429
64 16 6550 415.812
65 21 1482 125.286
66 7 7528 1374.86
67 17 7528 449.118
68 32 583 25.625
69 7 1482 299.714
70 11 402 42.7273
71 22 7528 839.545
72 4 583 151
73 9 6550 733.444
74 9 370 55.5556
75 22 7528 479
76 8 583 78.625
77 16 6550 415.812
78 37 583 23.1351
79 12 583 54.4167
80 7 402 63
81 11 6550 601.182
82 13 7528 657.923
83 10 1482 212.5
84 30 11 7
85 54 7528 158.296
86 49 1482 50
87 19 583 80.1579
88 12 7528 704.417
89 21 583 72.8571
90 27 11 7.07407
91 27 6550 318.815
92 10 583 104
93 23 1482 118
94 19 6550 449.526
95 11 1088 157.636
96 24 1482 109.125
97 9 6550 838
98 17 402 30.0588
99 20 1088 130.5
100 15 1482 290.667
